ID	accession	accession_name	species	bio_status	row_type	LON	LAT	AEZ_type	AEZ31
B_264	HB 1964	235551-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.033333	8.033333	SH	SH3
B_265	HB -1966	235551-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.033333	8.033333	SH	SH3
B_266	HB-1307	236823-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_268	HB-1963	237020-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.35	8.15	M	M3
B_269	HB-1965	237335-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.533333	12.516667	SM	SM3
B_27	242069	24636	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.410556	10.791667	M	M3
B_271	Holker	237346-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	39.466667	13.5	SM	SM3
B_274	Miscal-21	239519-B	Hordeum vulgare L. vulgare	landrace	Irregular	40.181389	7.381111	SH	SH3
B_275	Misrach	242070-C	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.116667	11.816667	M	M4
B_276	Shege	242093-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.55	12.783333	SM	SM3
B_277	Traveller	242098-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.783333	11.1	M	M3
B_278	NA	242098-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.783333	11.1	M	M3
B_279	NA	242099-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.733333	9.833333	M	M4
B_28	242571	24970	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.013611	8.065556	SH	SH3
B_280	NA	242576-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	40.172778	13.867778	A	A1
B_281	NA	242580-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	NA	NA	NA	NA
B_282	NA	243193-A	Hordeum vulgare L. vulgare	landrace	Irregular	39.827778	7.256111	SH	SH4
B_283	NA	243203-A	Hordeum vulgare L. vulgare	landrace	Irregular	39.840833	7.106389	SH	SH4
B_284	NA	243209-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.695278	7.099167	SH	SH5
B_285	NA	243247-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.735833	9.580278	M	M4
B_286	NA	243273-A	Hordeum vulgare L. vulgare	landrace	Irregular	38.277778	11.760278	M	M4
B_287	NA	243307-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.053333	11.595	M	M3
B_288	NA	243312-B	Hordeum vulgare L. vulgare	landrace	Irregular	38.058333	11.703333	M	M4
B_289	NA	243407-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_29	242574	24990	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.737222	7.753611	SH	SH3
B_290	NA	243410-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	NA	NA	NA	NA
B_291	NA	243410-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	NA	NA	NA	NA
B_292	NA	243565-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.383333	11.466667	M	M3
B_293	NA	243567-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.45	11.35	M	M3
B_294	1635	A hore 880/61	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_295	1826	Ardu 12-60B	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_296	4118	Bahati	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_297	4495	Balemi	Hordeum vulgare L. vulgare	improved	Irregular	NA	NA	NA	NA
B_298	15271	Bekoji-1	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_3	220654	4118	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.566667	11.633333	M	M3
B_30	242578	64334	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.483333	9.033333	SH	SH3
B_300	15284	Derebie	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_301	16727	Dimtu	Hordeum vulgare L. vulgare	improved	Irregular	NA	NA	NA	NA
B_302	16753	EH 1493	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_304	16805	Explorer	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_305	16855	Fanaka	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_306	16866	Gobe	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_307	16867	HB-1964	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_308	17145	HB -1966	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_309	17146	HB-1307	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_310	17148	HB-1533	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_311	17249	HB-1963	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_312	17254	HB-1965	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_313	17257	HB-42	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_314	17651	Holker	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_315	17658	IAR/H/485	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_316	17663	Ibon174/03	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_318	18327	Misrach	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_319	18905	Shege	Hordeum vulgare L. vulgare	improved	Six-rowed	NA	NA	NA	NA
B_32	243566	202642	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.75	6.95	SH	SH3
B_320	24636	Traveller	Hordeum vulgare L. vulgare	improved	Two-rowed	NA	NA	NA	NA
B_321	NA	159909	Hordeum murinum L.	NA	NA	NA	NA	NA	NA
B_322	NA	159910	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_323	NA	159914	Hordeum murinum L.	NA	NA	NA	NA	NA	NA
B_324	NA	159915	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_325	NA	159919	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_326	NA	159933	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_327	NA	159938	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_328	NA	159939	Hordeum murinum L.	NA	NA	NA	NA	NA	NA
B_329	NA	159947	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_330	NA	159958	Hordeum murinum L.	NA	NA	NA	NA	NA	NA
B_331	NA	159959	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_332	NA	160356	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_333	NA	160491	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_334	NA	160500	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_335	NA	160504	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_336	NA	160509	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
B_337	NA	160510	Hordeum vulgare L. subsp. spontaneum (K. Koch) Thell.	NA	NA	NA	NA	NA	NA
