ID	type	row.type	AEZ_type	AEZ31	region	zone	LON	LAT	Cluster	Axis1	Axis2	Axis3	species	accession	accession_name	Founder	Family
B_222	landrace	Two-rowed	H	H4	Oromia	ARSSI	39.233333	7.433333	11	3.025241967	0.968545824	1.003060688	Hordeum vulgare L. vulgare	235551-C	222969-A	NA	NA
B_223	landrace	Six-rowed	H	H4	Oromia	ARSSI	39.233333	7.433333	7	-0.565858643	1.071797166	-0.317533117	Hordeum vulgare L. vulgare	236823-A	222969-C	NA	NA
B_224	landrace	Two-rowed	SM	SM3	Tigray	MISRAKAWI	39.366667	13.45	8	0.421634216	-1.640533274	-1.006673713	Hordeum vulgare L. vulgare	237003-B	223168-A	NA	NA
B_225	landrace	Six-rowed	SM	SM3	Tigray	MISRAKAWI	39.366667	13.45	8	0.335333878	-1.574287493	-1.582166589	Hordeum vulgare L. vulgare	237020-A	223168-C	NA	NA
B_226	landrace	Irregular	SM	SM3	Tigray	MISRAKAWI	39.083333	14.25	6	0.472735936	-0.794099309	-1.100942007	Hordeum vulgare L. vulgare	237335-B	223174-A	NA	NA
B_227	landrace	Six-rowed	SM	SM4	Tigray	DEBUBAWI	39.533333	12.95	6	-0.502201003	0.362214519	-1.046829328	Hordeum vulgare L. vulgare	237346-A	223182-A	NA	NA
B_228	landrace	Six-rowed	SM	SM4	Tigray	DEBUBAWI	39.533333	12.95	6	-0.496654384	0.34699599	-1.056943693	Hordeum vulgare L. vulgare	237346-B	223182-B	NA	NA
B_229	landrace	Six-rowed	M	M4	Amhara	DEBUB WELLO	39.55	10.916667	10	-0.676794237	0.096307588	-0.997322955	Hordeum vulgare L. vulgare	237361-A	223926-A	NA	NA
B_23	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.790833	9.922778	5	-0.480013293	-0.955512185	2.599802542	Hordeum vulgare L. vulgare	237339	17663	NA	NA
B_230	landrace	Six-rowed	M	M4	Amhara	DEBUB WELLO	39.55	10.916667	10	-0.586387639	-0.00067873	-1.283346151	Hordeum vulgare L. vulgare	238349-B	223926-B	NA	NA
