ID,Acc_name,status,Country,LON,LAT
BTNC_73,Asham,LR,Bhutan,91.64,27.37
BTNC_1365,Ashom,LR,Bhutan,91.57,27.09
BTNC_1396,Ashom sothray,LR,Bhutan,90.04,26.98
BTNC_1397,Yangtsepa,LR,Bhutan,90.87573,27.57312
BTNC_1398,Pahile makai,LR,Bhutan,90.02,27.07
BTNC_1476,Gayza talop,LR,Bhutan,89.747,27.689
BTNC_1524,Gayza,LR,Bhutan,89.75,27.71
BTNC_1593,Arun 4,LR,Bhutan,91.263,27.256
BTNC_1633,Yangtsepa ashom,LR,Bhutan,91.49,27.15
BTNC_1634,Monpa ashom,LR,Bhutan,91.54,27.15
BTNC_1671,Tegkharpa,LR,Bhutan,91.531,27.128
BTNC_1691,Serpo,LR,Bhutan,91.1,27.55
BTNC_1693,Karpo,LR,Bhutan,91.234,27.462
BTNC_1696,Karpo,LR,Bhutan,91.16,27.49
BTNC_1791,Baipa amaar,LR,Bhutan,91.23,27.3
BTNC_92,Yangtsepa ashom,LR,Bhutan,91.94,27.1
BTNC_1816,Khartila,LR,Bhutan,91.128,27.73
BTNC_1819,Yangtsepa,LR,Bhutan,91,27.01
BTNC_1857,Serbu,LR,Bhutan,91.154,26.856
BTNC_1858,Yangtshepa,LR,Bhutan,91.1,26.85
BTNC_1859,Tsalu,LR,Bhutan,91.19,26.85
BTNC_1860,Serbu,LR,Bhutan,91.154,26.856
BTNC_1878,Cheeghar,LR,Bhutan,91.25,27.32
BTNC_1887,Pailo makai,LR,Bhutan,90.18,26.95
BTNC_94,Ashom balingmi,LR,Bhutan,91.53,27.36
BTNC_1915,Kriapa,LR,Bhutan,90.79,27.13
BTNC_1916,Japan dowsa,LR,Bhutan,90.799,27.117
BTNC_1917,Chazam wgathpa,LR,Bhutan,90.71,27.2
BTNC_1942,Warong ahom,LR,Bhutan,90.568,26.841
BTNC_1943,Yangtsepa,LR,Bhutan,90.568,26.841
BTNC_1953,Tegsumpa,LR,Bhutan,90.53,26.87
BTNC_1970,Pailo makai,LR,Bhutan,90.159,26.949
BTNC_1985,Tsalu,LR,Bhutan,91.25,26.84
BTNC_1988,Yangtshepa,LR,Bhutan,91.1,26.86
BTNC_1989,Lanisampa asham,LR,Bhutan,91.211,26.871
BTNC_1990,Yangtshipa,LR,Bhutan,91.15,26.85
BTNC_1991,Tshalu,LR,Bhutan,91.249,26.844
BTNC_1992,Tsalu,LR,Bhutan,91.211,26.871
BTNC_2023,Balingmin,LR,Bhutan,91.15,26.86
BTNC_2089,Barshongpa domp,LR,Bhutan,90.98,26.87
BTNC_2090,Teksumpa,LR,Bhutan,90.893,27.027
BTNC_2091,Japan dompa,LR,Bhutan,90.66,27.17
BTNC_2092,Teksumpa,LR,Bhutan,90.84,27
BTNC_2093,Na,LR,Bhutan,90.8,27.02
BTNC_2095,Sertila,LR,Bhutan,91,26.91
BTNC_2094,Tshik sumpa,LR,Bhutan,90.853,27.009
BTNC_2097,Krinpo ashom,LR,Bhutan,90.855,27.003
BTNC_2149,Wingkhar,LR,Bhutan,91.15,26.85
BTNC_2186,Serbu,LR,Bhutan,91.12856,26.85517
BTNC_2188,Yangtsepa,LR,Bhutan,91.22,26.86
BTNC_2215,Pemalingpa,LR,Bhutan,91.25,27.6
BTNC_1697,Karpo,LR,Bhutan,91.16,27.489
BTNC_2300,Khartila,LR,Bhutan,90.96,27.053
BTNC_2383,Tsekharpu,LR,Bhutan,91.56,27.13
BTNC_2386,Yangtsepa,LR,Bhutan,91.48,27.17
BTNC_2554,Betpu asham,LR,Bhutan,91.23,26.92
BTNC_2566,Pailo makai,LR,Bhutan,89.945,26.956
BTNC_2581,Asham balingbi,LR,Bhutan,91.239,27.03
BTNC_2589,Asham khanda,LR,Bhutan,91.239,27.03
BTNC_2590,Ton asham,LR,Bhutan,91.2,27
BTNC_2591,Sathia makai,LR,Bhutan,89.949,26.933
BTNC_2594,Sinpo asham,LR,Bhutan,91.21,27
BTNC_2676,Norbugang,LR,Bhutan,91.388,26.86
SEMJONG3,Payeli,LR,Bhutan,90.17,27.04
BTNC_121,Zhung ashom,LR,Bhutan,91.9,27.14
BTNC_123,Ashom tshalo,LR,Bhutan,92.03,27
BTNC_194,Ashom,LR,Bhutan,91.24,27.08
BTNC_203,Ashom tsalu,LR,Bhutan,91.97,27.05
BTNC_226,Ashom daza,LR,Bhutan,91.4,27.12
BTNC_242,Ashom tsalu,LR,Bhutan,92.03,27
BTNC_243,Ashom tsalu,LR,Bhutan,92.04,27
BTNC_252,Ashom,LR,Bhutan,91.403,27.021
BTNC_367,Raba tsalu asha,LR,Bhutan,91.12,27.52
BTNC_369,Kengkharpa,LR,Bhutan,91.06,26.95
BTNC_457,Dangpo ashom ts,LR,Bhutan,91.57,27.04
BTNC_732,Pema lingpa,LR,Bhutan,91.2,27.61
BTNC_53,Sheti makai,LR,Bhutan,89.03,26.94
BTNC_177,Sheti makai,LR,Bhutan,89.477,26.831
BTNC_241,Sathiya makai,LR,Bhutan,89.01,26.94
BTNC_314,Paheli makai,LR,Bhutan,89.43,26.88
BTNC_317,Phophor asho,LR,Bhutan,91.65,27.38
BTNC_16,Pahelo makai,LR,Bhutan,90.09,26.95
